prefix	input_text	target_text
Data	إِلاَّ أَنَّ بُولُسَ وَبَرْنَابَا بَقِيَا هُنَاكَ فَتْرَةً طَوِيلَةً يُبَشِّرَانِ بِالرَّبِّ بِكُلِّ جُرْأَةٍ، وَأَيَّدَهُمَا الرَّبُّ شَاهِداً لِكَلِمَةِ نِعْمَتِهِ بِمَا أَجْرَاهُ عَلَى أَيْدِيهِمَا مِنْ آيَاتٍ وَعَجَائِبَ.	ⲁⲩⲉⲣ ⲟⲩⲛⲓϣϯ ⲙⲉⲛ ⲟⲩⲛ ⳿ⲛ⳿ⲭⲣⲟⲛⲟⲥ ⳿ⲙⲙⲁⲩ ⲉⲩⲟⲩⲟⲛϩ ⳿ⲙⲙⲱⲟⲩ ⳿ⲉⲃⲟⲗϧⲉⲛ ⳿ⲫⲣⲁⲛ ⳿ⲙⲠ⳪ ⲫⲁⲓ ⲉⲧⲉⲣⲙⲉⲑⲣⲉ ⳿ⲉ⳿ϩⲣⲏⲓ ⳿ⲉϫⲉⲛ ⳿ⲡⲥⲁϫⲓ ⳿ⲛⲧⲉ ⲡⲉϥ⳿ϩⲙⲟⲧ ⲉϥϯ ⳿ⲛϩⲁⲛⲙⲏⲓⲛⲓ ⲛⲉⲙ ϩⲁⲛ⳿ϣⲫⲏⲣⲓ ⲉⲑⲣⲟⲩϣⲱⲡⲓ ⳿ⲉⲃⲟⲗϩⲓⲧⲉⲛ ⲛⲟⲩϫⲓϫ ..
Data	وَلكِنَّهُ غَضِبَ وَرَفَضَ أَنْ يَدْخُلَ. فَخَرَجَ أَبُوهُ وَتَوَسَّلَ إِلَيْهِ.	ⲁϥϫⲱⲛⲧ ⲇⲉ ⲟⲩⲟϩ ⲙⲡⲉϥⲟⲩⲱϣ ⳿ⲉ⳿ⲓ ⳿ⲉϧⲟⲩⲛ ⲡⲉϥⲓⲱⲧ ⲇⲉ ⲉⲧⲁϥ⳿ⲓ ⳿ⲉⲃⲟⲗ ⲛⲁϥϯϩⲟ ⳿ⲉⲣⲟϥ ⲡⲉ.
Data	وَتَكَاثَرَ جِدّاً عَدَدُ الَّذِينَ آمَنُوا بِهِ بِسَبَبِ كَلاَمِهِ،	ⲟⲩⲟϩ ϩⲁⲛⲕⲉⲙⲏϣ ⳿ⲛϩⲟⲩ⳿ⲟ ⲁⲩⲛⲁϩϯ ⲉⲑⲃⲉ ⲡⲉϥⲥⲁϫⲓ.
Data	فَفَكَّرَ فِي نَفْسِهِ قَائِلاً: مَاذَا أَعْمَلُ وَلَيْسَ عِنْدِي مَكَانٌ أَخْزِنُ فِيهِ مَحَاصِيلِي؟	ⲟⲩⲟϩ ⲛⲁϥⲙⲟⲕⲙⲉⲕ ⲡⲉ ⳿ⲛ⳿ϧⲣⲏⲓ ⳿ⲛϧⲏⲧϥ ⲉϥϫⲱ ⳿ⲙⲙⲟⲥ ϫⲉ ⲟⲩ ⲡⲉϯⲛⲁⲁⲓϥ ϫⲉ ⳿ⲙⲙⲟⲛϯ ⲙⲁ ⳿ⲙⲙⲁⲩ ⲉⲑⲣⲓⲑⲱⲟⲩϯ ⲛⲛⲁⲟⲩⲧⲁϩ ⳿ⲉⲣⲟϥ.
Data	لِنَفْرِضْ أَنَّ إِنْسَانَيْنِ دَخَلاَ مَجْمَعَكُمْ، أَحَدُهُمَا غَنِيٌّ يَلْبَسُ ثِيَاباً فَاخِرَةً وَيُزَيِّنُ أَصَابِعَهُ بِخَوَاتِمَ مِنْ ذَهَبٍ، وَالآخَرُ فَقِيرٌ يَلْبَسُ ثِيَاباً رِثَّةً.	ⲉϣⲱⲡ ⲅⲁⲣ ⳿ⲛⲧⲉϥ⳿ⲓ ⳿ⲉϧⲟⲩⲛ ⲉⲧⲉⲧⲉⲛⲥⲩⲛⲁⲅⲱⲅⲏ ⳿ⲛϫⲉ ⲟⲩⲣⲱⲙⲓ ⲉⲣⲉ ⲟⲩⲟⲛ ⲟⲩ⳿ϣϭ ⲟⲩⲣ ⳿ⲛⲛⲟⲩⲃ ⲧⲟⲓ ⳿ⲉⲡⲉϥⲧⲏⲃ ϧⲉⲛ ⲟⲩϩⲉⲃⲥⲱ ⲉⲥⲫⲟⲣⲓ ⳿ⲛⲧⲉϥ⳿ⲓ ⲇⲉ ⳿ⲉϧⲟⲩⲛ ϩⲱϥ ⳿ⲛϫⲉ ⲟⲩϩⲏⲕⲓ ϧⲉⲛ ⲟⲩϩⲉⲃⲥⲱ ⲉⲥⲁⲑⲓⲱⲟⲩ.
Data	لَيْسَ هؤُلاَءِ سَكَارَى كَمَا تَتَوَهَّمُونَ، فَالنَّاسُ لاَ يَسْكَرُونَ فِي السَّاعَةِ التَّاسِعَةِ صَبَاحاً.	ⲟⲩ ⲅⲁⲣ ⳿ⲙ⳿ⲫⲣⲏϯ ⳿ⲛⲑⲱⲧⲉⲛ ⲁⲛ ⳿ⲉⲧⲉⲧⲉⲛⲙⲉⲩⲓ ⳿ⲉⲣⲟϥ ϫⲉ ⳿ⲁⲣⲉ ⲛⲁⲓ ⲑⲁϧⲓ ⲁϫⲡⲅ̅ϯ ⲅⲁⲣ ⳿ⲙⲡⲓ⳿ⲉϩⲟⲟⲩ ⲧⲉ ..
Data	وَاجْتَهَدُوا لِمَعْرِفَةِ الزَّمَانِ وَالأَحْوَالِ الَّتِي كَانَ يُشِيرُ إِلَيْهَا رُوحُ الْمَسِيحِ الَّذِي كَانَ عَامِلاً فِيهِمْ، عِنْدَمَا شَهِدَ لَهُمْ مُسْبَقاً بِمَا يَنْتَظِرُ الْمَسِيحَ مِنْ آلاَمٍ، وَبِمَا يَأْتِي بَعْدَهَا مِنْ أَمْجَادٍ.	ⲉⲩϧⲟⲧϧⲉⲧ ⳿ⲛⲥⲁ ⲡⲓⲥⲏⲟⲩ ⲉⲧⲁ ⲡⲓⲡ͞ⲛⲁ̅ ⳿ⲛⲧⲉ Ⲡⲭ̅ⲥ̅ ⲥⲁϫⲓ ⳿ⲛϧⲏⲧⲟⲩ ⳿ⲉⲁⲩⲉⲣϣⲟⲣⲡ ⳿ⲛⲉⲣⲙⲉⲑⲣⲉ ϧⲁ ⲛⲓ⳿ⲙⲕⲁⲩϩ ⳿ⲛⲧⲉ Ⲡⲭ̅ⲥ̅ ⲛⲉⲙ ⲛⲓⲱⲟⲩ ⲉⲑⲛⲏⲟⲩ ⲙⲉⲛⲉⲛⲥⲁ ⲛⲁⲓ.
Data	أَجَابَهُ يَسُوعُ: «أَتَبْذِلُ حَيَاتَكَ عِوَضاً عَنِّي؟ الْحَقَّ الْحَقَّ أَقُولُ لَكَ: لاَ يَصِيحُ الدِّيكُ حَتَّى تَكُونَ قَدْ أَنْكَرْتَنِي ثَلاَثَ مَرَّاتٍ!»	ⲁϥⲉⲣⲟⲩⲱ ⲛⲁϥ ⳿ⲛϫⲉ Ⲓⲏ̅ⲥ̅ ϫⲉ ⲧⲉⲕ ⲯⲩⲭⲏ ⳿ⲭⲛⲁⲭⲁⲥ ⳿ⲉ⳿ϩⲣⲏⲓ ⳿ⲉϫⲱⲓ ⲁⲙⲏⲛ ⲁⲙⲏⲛ ϯϫⲱ ⳿ⲙⲙⲟⲥ ⲛⲁⲕ ϫⲉ ⳿ⲛⲛⲉ ⲟⲩ⳿ⲁⲗⲉⲕⲧⲱⲣ ⲙⲟⲩϯ ϣⲁⲧⲉⲕϫⲟⲗⲧ ⳿ⲉⲃⲟⲗ ⳿ⲛⲅ̅ ⳿ⲛⲥⲟⲡ
Data	وَأَنَا الْيَوْمَ أُحَاكَمُ لأَنَّ لِي رَجَاءً بِأَنْ يُحَقِّقَ اللهُ مَا وَعَدَ بِهِ آبَاءَنَا،	ⲟⲩⲟϩ ϯⲛⲟⲩ ⲉⲑⲃⲉ ⳿ⲧϩⲉⲗⲡⲓⲥ ⳿ⲙⲡⲓⲱϣ ⳿ⲉⲧⲁϥϣⲱⲡⲓ ⳿ⲛⲛⲉⲛⲓⲟϯ ⳿ⲉⲃⲟⲗϩⲓⲧⲉⲛ Ⲫϯ ϯ⳿ⲟϩⲓ ⳿ⲉⲣⲁⲧ ⲉⲩϯϩⲁⲡ ⳿ⲉⲣⲟⲓ ..
Data	فَمِنَ الصَّوَابِ أَلاَّ تَأْكُلَ لَحْماً وَلاَ تَشْرَبَ خَمْراً، وَلاَ تَفْعَلَ شَيْئاً يَتَعَثَّرُ فِيهِ أَخُوكَ.	ⲛⲁⲛⲉⲥ ⳿ⲉ⳿ϣⲧⲉⲙⲟⲩⲉⲙ ⲁϥ ⲟⲩⲇⲉ ⳿ⲉ⳿ϣⲧⲉⲙⲥⲉ ⲏⲣⲡ ⲛⲉⲙ ⲫⲏⲉⲧⲉ ⲡⲉⲕⲥⲟⲛ ⲛⲁ ϭⲓϭⲣⲟⲡ ⳿ⲛϧⲏⲧϥ.
