prefix	input_text	target_text
Data	وَتَكُونُونَ مَكْرُوهِينَ لَدَى الْجَمِيعِ مِنْ أَجْلِ اسْمِي. وَلَكِنَّ الَّذِي يَثْبُتُ إِلَى النِّهَايَةِ، هُوَ الَّذِي يَخْلُصُ.	ⲟⲩⲟϩ ⳿ⲉⲣⲉⲧⲉⲛ⳿ⲉϣⲱⲡⲓ ⲉⲩⲙⲟⲥϯ ⳿ⲙⲙⲱⲧⲉⲛ ⳿ⲛϫⲉ ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉⲑⲃⲉ ⲡⲁⲣⲁⲛ ⲫⲏ ⲇⲉ ⲉⲑⲛⲁ⳿ⲁⲙⲟⲛⲓ ⳿ⲛⲧⲟⲧϥ ϣⲁ ⳿ⲉⲃⲟⲗ ⲫⲁⲓ ⲡⲉⲑⲛⲁⲛⲟϩⲉⲙ.
Data	فَإِنِّي أَقُولُ لَكُمْ: إِنَّهُ لَيْسَ بَيْنَ مَنْ وَلَدَتْهُمُ النِّسَاءُ أَعْظَمُ مِنْ يُوحَنَّا، وَلكِنَّ الأَصْغَرَ فِي مَلَكُوتِ اللهِ أَعْظَمُ مِنْهُ!»	ϯϫⲱ ⳿ⲙⲙⲟⲥ ⲛⲱⲧⲉⲛ ϫⲉ ϧⲉⲛ ⳿ⲡϫⲓⲛⲙⲓⲥⲓ ⳿ⲛⲧⲉ ⲓϩⲓ⳿ⲟⲙⲓ ⳿ⲙⲙⲟⲛ ⳿ϩⲗⲓ ⲛⲁⲁϥ ⳿ⲉⲓⲱⲁⲛⲛⲏ ⲥ ⲡⲓⲕⲟⲩϫⲓ ⲇⲉ ⳿ⲉⲣⲟϥ ϧⲉⲛ ϯⲙⲉⲧⲟⲩⲣⲟ ⳿ⲛⲧⲉ ⲛⲓⲫⲏⲟⲩ⳿ⲓ ⲟⲩⲛⲓϣϯ ⳿ⲉⲣⲟϥ ⲡⲉ.
Data	فَوَقَفَ بُولُسُ، وَأَشَارَ بِيَدِهِ، وَقَالَ: اسْمَعُوا يا بَني إِسرائيلَ، ويا مَنْ تَتَّقونَ اللهَ:	⳿ⲉⲧⲁϥⲧⲱⲛϥ ⲇⲉ ⳿ⲛϫⲉ ⲡⲁⲩⲗⲟⲥ ⲟⲩⲟϩ ⳿ⲉⲧⲁϥϭⲱⲣⲉⲙ ⳿ⲛⲧⲉϥϫⲓϫ ⲡⲉϫⲁϥ ⲛⲓⲣⲱⲙⲓ ⲛⲓ⳿ⲥⲣⲁⲏⲗⲓⲧⲏⲥ ⲛⲉⲙ ⲛⲏ⳿ⲉⲧⲉⲣϩⲟϯ ϧⲉⲛ ⲑⲏⲛⲟⲩ ϧⲁ⳿ⲧϩⲏ ⳿ⲙⲪϯ ⲥⲱⲧⲉⲙ ..
Data	وَعِنْدَمَا يَأْتِي، يَجِدُهُ مَكْنُوساً مُزَيَّناً.	ⲟⲩⲟϩ ⲁϥϣⲁⲛ⳿ⲓ ⳿ⲛⲧⲉϥϫⲉⲙϥ ⲉϥ⳿ⲥⲣⲱϥⲧ ⲉϥ⳿ⲥⲣⲁϩ ⲉϥⲥⲉⲗⲥⲱⲗ.
Data	وَمَنْ كَانَ فِي الْحَقْلِ، فَلاَ يَرْجِعْ لِيَأْخُذَ ثَوْبَهُ.	ⲟⲩⲟϩ ⲫⲏⲉⲧϧⲉⲛ ⳿ⲧⲕⲟⲓ ⳿ⲙⲡⲉⲛ⳿ⲑⲣⲉϥ⳿Ⲓ ⳿ⲉⲫⲁϩⲟⲩ ⳿ⲉⲉⲗ ⲡⲉϥ⳿ϩⲃⲟⲥ.
Data	وَلاَ ثَبَتَتْ كَلِمَتُهُ فِي قُلُوبِكُمْ، بِدَلِيلِ أَنَّكُمْ لاَ تُصَدِّقُونَ الَّذِي أَرْسَلَهُ.	ⲟⲩⲟϩ ⲡⲉϥⲥⲁϫⲓ ϣⲱⲡⲓ ϧⲉⲛ ⲑⲏⲛⲟⲩ ⲁⲛ ϫⲉ ⲫⲏⲉⲧⲁϥⲧⲁⲟⲩⲟϥ ⳿ⲙⲡⲉⲧⲉⲛⲛⲁϩϯ ⳿ⲛⲑⲱⲧⲉⲛ ⳿ⲉⲣⲟϥ.
Data	وَبِالإِيمَانِ، انْتَقَلَ أَخْنُوخُ إِلَى حَضْرَةِ اللهِ دُونَ أَنْ يَمُوتَ. وَقَدِ اخْتَفَى مِنْ عَلَى هَذِهِ الأَرْضِ لأَنَّ اللهَ أَخَذَهُ إِلَيْهِ. وَقَبْلَ حُدُوثِ ذلِكَ، شُهِدَ لَهُ بِأَنَّهُ قَدْ أَرْضَى اللهَ.	ϧⲉⲛ ⲟⲩⲛⲁϩϯ ⲉⲛⲱⲭ ⲁⲩⲟⲩⲟⲑⲃⲉϥ ⳿ⲉⲃⲟⲗ ⳿ⲉ⳿ϣⲧⲉⲙⲛⲁⲩ ⳿ⲉ⳿ⲫⲙⲟⲩ ⲟⲩⲟϩ ⲛⲁⲩϫⲓⲙⲓ ⳿ⲙⲙⲟϥ ⲁⲛ ⲡⲉ ϫⲉ ⲁ ⲫϯ ⲟⲩⲟⲑⲃⲉϥ ⳿ⲉⲃⲟⲗ ϧⲁϫⲱϥ ⲅⲁⲣ ⳿ⲙⲡⲓⲟⲩⲱⲧⲉⲃ ⳿ⲉⲃⲟⲗ ⲁⲩⲉⲣⲙⲉⲑⲣⲉ ϧⲁⲣⲟϥ ϫⲉ ⲁϥⲣⲁⲛⲁϥ ⳿ⲙⲫϯ.
Data	وَمَا مِنْ أَحَدٍ إِذَا شَرِبَ الْخَمْرَ الْعَتِيقَةَ، يَرْغَبُ فِي الْجَدِيدَةِ، لأَنَّهُ يَقُولُ: الْعَتِيقَةُ أَطْيَبُ!»	ⲟⲩⲟϩ ⳿ⲙⲙⲟⲛ ⳿ϩⲗⲓ ⲉϥⲥⲱ ⳿ⲁⲡⲁⲥ ⲛⲁⲟⲩⲱϣ ⲃⲉⲣⲓ ⳿ϥϫⲱ ⲅⲁⲣ ⳿ⲙⲙⲟⲥ ϫⲉ ⳿ϥϩⲟⲗϫ ⳿ⲛϫⲉ ⲡⲓ⳿ⲁⲡⲁⲥ
Data	وَلَمَّا أَخَذْتُهُ مِنْ يَدِهِ وَالْتَهَمْتُهُ، كَانَ حُلْواً كَالْعَسَلِ فِي فَمِي، وَلَكِنْ مَا إِنِ ابْتَلَعْتُهُ حَتَّى مَلأَ بَطْنِي مَرَارَةً!	ⲟⲩⲟϩ ⲁⲓϭⲓ ⳿ⲙⲡⲓϫⲱⲙ ⳿ⲉⲃⲟⲗ ϧⲉⲛ ⳿ⲧϫⲓϫ ⳿ⲙⲡⲓⲁⲅⲅⲉⲗⲟⲥ ⲟⲩⲟϩ ⲁϥϣⲱⲡⲓ ⲉϥϩⲟⲗϫ ϧⲉⲛ ⲣⲱⲓ ⳿ⲙ⳿ⲫⲣⲏϯ ⳿ⲛⲟⲩ⳿ⲉⲃⲓⲱ ⲟⲩⲟϩ ⲉⲧⲁⲓⲟⲩⲟⲙϥ ⲁ ⲧⲁⲛⲉϫⲓ ⲉⲣϣⲁϣⲓ.
Data	وَفِيمَا كَانَ الْفَرِّيسِيُّونَ مُجْتَمِعِينَ، سَأَلَهُمْ يَسُوعُ:	⳿ⲉⲧⲁⲩⲑⲱⲟⲩϯ ⲇⲉ ⲉⲩⲙⲁ ⳿ⲛϫⲉ ⲛⲓⲪⲁⲣⲓⲥⲉⲟⲥ ⲁϥϣⲉⲛⲟⲩ ⳿ⲛϫⲉ Ⲓⲏ̅ⲥ̅.
